iter	Passed	Remaining
0	41	16500
1	83	16686
2	124	16506
3	166	16515
4	207	16402
5	249	16395
6	290	16301
7	331	16260
8	370	16088
9	412	16102
10	456	16136
11	499	16144
12	543	16190
13	583	16098
14	623	16013
15	665	15964
16	709	15985
17	749	15909
18	790	15844
19	830	15787
20	870	15716
21	909	15625
22	947	15535
23	988	15479
24	1030	15454
25	1072	15423
26	1111	15359
27	1148	15264
28	1190	15234
29	1232	15202
30	1270	15127
31	1308	15051
32	1351	15025
33	1393	14997
34	1434	14956
35	1474	14906
36	1513	14851
37	1553	14801
38	1594	14757
39	1636	14724
40	1678	14693
41	1719	14654
42	1762	14636
43	1801	14577
44	1842	14538
45	1885	14507
46	1921	14433
47	1962	14388
48	2004	14357
49	2043	14305
50	2082	14250
51	2122	14206
52	2164	14172
53	2205	14133
54	2245	14086
55	2283	14030
56	2323	13983
57	2363	13938
58	2403	13894
59	2448	13873
60	2489	13836
61	2531	13801
62	2575	13776
63	2614	13727
64	2659	13705
65	2698	13655
66	2740	13622
67	2783	13589
68	2825	13552
69	2867	13518
70	2908	13479
71	2947	13425
72	2989	13389
73	3029	13344
74	3065	13285
75	3105	13241
76	3145	13196
77	3181	13135
78	3221	13091
79	3260	13040
80	3300	12999
81	3344	12970
82	3382	12916
83	3420	12868
84	3458	12816
85	3496	12767
86	3534	12714
87	3573	12668
88	3609	12614
89	3646	12561
90	3684	12510
91	3726	12474
92	3767	12435
93	3806	12391
94	3848	12356
95	3887	12311
96	3927	12267
97	3962	12211
98	3999	12158
99	4040	12120
100	4075	12065
101	4116	12027
102	4152	11973
103	4193	11936
104	4233	11892
105	4271	11846
106	4307	11796
107	4345	11750
108	4384	11704
109	4424	11665
110	4464	11624
111	4499	11568
112	4535	11518
113	4569	11462
114	4606	11415
115	4644	11371
116	4679	11319
117	4720	11280
118	4762	11245
119	4802	11205
120	4837	11154
121	4872	11101
122	4909	11056
123	4946	11009
124	4982	10962
125	5018	10912
126	5050	10857
127	5088	10813
128	5126	10768
129	5158	10714
130	5198	10674
131	5243	10645
132	5277	10594
133	5313	10548
134	5353	10508
135	5390	10463
136	5429	10422
137	5470	10385
138	5505	10338
139	5547	10302
140	5586	10261
141	5625	10220
142	5660	10173
143	5695	10125
144	5730	10078
145	5770	10039
146	5809	9998
147	5843	9950
148	5879	9904
149	5920	9867
150	5956	9822
151	5994	9780
152	6034	9741
153	6071	9699
154	6112	9661
155	6148	9616
156	6190	9580
157	6227	9538
158	6268	9502
159	6312	9469
160	6351	9428
161	6390	9388
162	6429	9349
163	6464	9302
164	6505	9264
165	6542	9222
166	6589	9193
167	6624	9147
168	6662	9107
169	6703	9069
170	6740	9026
171	6781	8989
172	6824	8954
173	6863	8914
174	6903	8875
175	6944	8838
176	6978	8792
177	7019	8754
178	7060	8717
179	7098	8675
180	7136	8635
181	7174	8593
182	7217	8558
183	7254	8516
184	7292	8475
185	7334	8439
186	7375	8401
187	7412	8359
188	7450	8317
189	7485	8273
190	7525	8234
191	7562	8192
192	7597	8148
193	7635	8108
194	7671	8065
195	7714	8029
196	7748	7984
197	7788	7945
198	7825	7904
199	7863	7863
200	7903	7824
201	7941	7784
202	7989	7753
203	8025	7710
204	8059	7666
205	8099	7627
206	8138	7587
207	8173	7545
208	8207	7500
209	8248	7462
210	8283	7419
211	8322	7380
212	8360	7340
213	8396	7297
214	8435	7258
215	8472	7217
216	8512	7178
217	8551	7139
218	8585	7095
219	8624	7056
220	8663	7016
221	8701	6977
222	8741	6938
223	8778	6897
224	8816	6857
225	8854	6817
226	8888	6773
227	8928	6735
228	8968	6696
229	9000	6652
230	9039	6613
231	9072	6570
232	9113	6532
233	9153	6493
234	9193	6455
235	9228	6412
236	9265	6372
237	9305	6333
238	9343	6294
239	9383	6255
240	9422	6216
241	9461	6177
242	9497	6136
243	9538	6098
244	9575	6057
245	9615	6019
246	9656	5981
247	9695	5942
248	9735	5903
249	9771	5862
250	9813	5825
251	9853	5786
252	9889	5745
253	9931	5708
254	9974	5672
255	10015	5633
256	10058	5596
257	10108	5563
258	10146	5523
259	10184	5484
260	10234	5450
261	10271	5410
262	10308	5369
263	10347	5330
264	10383	5289
265	10418	5248
266	10456	5208
267	10492	5168
268	10526	5126
269	10565	5086
270	10605	5048
271	10637	5005
272	10672	4964
273	10712	4926
274	10746	4884
275	10785	4845
276	10822	4805
277	10857	4764
278	10893	4724
279	10932	4685
280	10968	4645
281	11006	4605
282	11052	4569
283	11092	4530
284	11124	4488
285	11159	4448
286	11207	4412
287	11247	4374
288	11294	4338
289	11331	4298
290	11365	4257
291	11406	4218
292	11441	4178
293	11479	4138
294	11515	4098
295	11560	4061
296	11600	4022
297	11636	3982
298	11675	3943
299	11718	3906
300	11759	3867
301	11795	3827
302	11837	3789
303	11877	3750
304	11912	3710
305	11949	3670
306	11988	3631
307	12024	3591
308	12057	3550
309	12094	3511
310	12130	3471
311	12168	3432
312	12206	3392
313	12249	3354
314	12288	3315
315	12327	3277
316	12364	3237
317	12402	3198
318	12441	3159
319	12475	3118
320	12510	3078
321	12549	3039
322	12584	3000
323	12633	2963
324	12669	2923
325	12711	2885
326	12751	2846
327	12791	2807
328	12827	2768
329	12868	2729
330	12906	2690
331	12950	2652
332	12984	2612
333	13029	2574
334	13068	2535
335	13107	2496
336	13151	2458
337	13188	2419
338	13229	2380
339	13270	2341
340	13313	2303
341	13354	2264
342	13391	2225
343	13432	2186
344	13468	2147
345	13513	2108
346	13549	2069
347	13590	2030
348	13624	1991
349	13667	1952
350	13713	1914
351	13753	1875
352	13792	1836
353	13836	1798
354	13874	1758
355	13924	1720
356	13961	1681
357	14000	1642
358	14035	1602
359	14078	1564
360	14111	1524
361	14152	1485
362	14191	1446
363	14236	1407
364	14275	1368
365	14310	1329
366	14348	1290
367	14389	1251
368	14425	1211
369	14464	1172
370	14507	1134
371	14541	1094
372	14582	1055
373	14619	1016
374	14663	977
375	14703	938
376	14736	899
377	14771	859
378	14811	820
379	14847	781
380	14885	742
381	14919	703
382	14963	664
383	15010	625
384	15047	586
385	15091	547
386	15131	508
387	15168	469
388	15210	430
389	15247	390
390	15302	352
391	15345	313
392	15391	274
393	15436	235
394	15480	195
395	15522	156
396	15566	117
397	15605	78
398	15643	39
399	15690	0
